STT	Từ vựng	Nghĩa
349	원활하다	Suôn sẻ, trôi chảy
350	유보하다	Trì hoãn
351	협조를 당부하다	Yêu cầu hợp tác
352	시정하다	Sửa chữa
353	촉구하다	Thúc giục
354	반성문	Bản kiểm điểm
355	소소하다	Nhỏ nhặt
356	국정 업무	Việc triều chính
357	신하	Hạ thần
358	상소 	Dâng sớ
359	심경	Tâm trạng
360	세계정세	Tình hình thế giới
361	동서양의 사회	Xã hội Đông – Tây
362	양상	Diện mạo, hình ảnh
363	상세히	Cặn kẽ, chi tiết
364	사료	Sử liệu
365	맹신	Sự tin tưởng mù quáng
366	경계하다	Cảnh giác, kiêng dè
367	훼손	Tổn thương, bị phá hoại
368	강구하다	Tìm tòi, nghiên cứu
369	개방대학	Đại học mở
370	고등학교	Cấp 3
371	공립학교	Trường công lập
372	국립대학	Đại học quốc gia
373	기숙학교	Trường nội trú
374	대학교	Trường đại học
375	대학원	Cao học
376	법대	Đại học luật
377	사립대학	Đại học dân lập
378	사범대학	Đại học sư phạm
379	여대	Đại học nữ sinh
380	외대	Đại học ngoại ngữ
381	유치원	Mẫu giáo
382	의대	Đại học y
383	전문대학	Trường cao đẳng
384	주간학교	Trường ngoại trú
385	중학교	Cấp 2
386	초등학교	Cấp 1
387	탁아소	Nhà trẻ
388	학교	Trường học
389	학원	Học viện
390	강당	Giảng đường
391	교수 연구실	Phòng giáo sư
392	기숙사	Ký túc xá
393	농구 코트	Sân bóng rổ
394	도서관	Thư viện
395	동아리 방	Phòng sinh hoạt CLB
396	무용실	Phòng múa
397	미술실	Phòng mỹ thuật
398	사무실	Văn phòng
399	서점	Hiệu sách
400	세미나실	Phòng hội thảo
401	셔틀버스 승차장	Trạm xe đưa đón của trường học
402	수영장	Hồ bơi
403	연구실 / 실험실	Phòng thí nghiệm
404	야외 음악당	Sân khấu ngoài trời
405	운동장	Sân vận động
406	음악실	Phòng âm nhạc
407	체육관	Nhà tập thể dục
408	치료소	Bệnh xá
409	탈의실	Phòng thay đồ
410	테니스 코트	Sân tennis
411	학과 사무실	Văn phòng khoa
412	학생 상담소	Phòng tư vấn sinh
413	학생 식당	Canteen
414	학생 회관	Hội quán sinh viên
415	교수님	Giáo sư
416	교장	Hiệu trưởng
417	대학생	Sinh viên
418	동창	Bạn học
419	박사	Tiến sĩ
420	반장	Lớp trưởng
421	사학년	Năm thứ tư
422	삼학년	Năm thứ ba
243	석사	Thạc sĩ
424	선배	Tiền bối
425	선생님	Giáo viên
426	이학년	Năm thứ hai
427	일학년	Năm thứ nhất
428	조장	Tổ trưởng
429	학생	Học sinh
430	후배	Hậu bối
431	건축	Kiến trúc
432	공업	Công nghiệp
433	과목	Môn học
434	과학	Khoa học
435	국어	Quốc ngữ/ ngữ văn
436	기술	Kỹ thuật
437	농업	Nông nghiệp
438	문화	Văn hóa
439	물라학	Vật lý
440	미술	Mỹ thuật
441	부문 / 학과	Khoa
442	사범	Sư phạm
443	수학	Môn toán
444	심리학	Tâm lý
445	약학	Dược
446	언어	Ngôn ngữ
447	역사	Lịch sử
448	영어	Tiếng anh
449	지리학	Địa lý
450	화학	Hóa học
451	생물학	Sinh học
452	공책	Vở
453	교복	Đồng phục
454	교실	Phòng học
455	그림책	Sách tranh
456	볼펜	Bút bi
457	색연필	Bút màu
458	연필	Bút chì
459	음악	Âm nhạc
460	자	Thước kẻ
461	책	Sách
462	책가방	Cặp sách
463	책상	Bàn học
464	초크	Phấn
465	칠판	Bảng đen
466	컴퓨터	Máy vi tính
467	펜	Bút mực
468	필통	Hộp bút
469	문방구	Văn phòng phẩm
470	가르치다	Dạy
471	강의하다	Giảng bài
472	결울방학	Nghỉ đông
473	공부를 못 하다	Học kém
474	공부를 잘 하다	Học giỏi
475	공부하다	Học hành
476	그만두다	Từ bỏ
477	기숙사비	Tiền ký túc xá
478	단어	Từ ngữ
479	대문자	Viết hoa
480	더하다	Tăng
481	독학하다	Tự học
482	등록금	Tiền làm thủ tục nhập học
483	떨어지다	Trượt
483	마침표	Dấu chấm
485	문법	Ngữ pháp
486	문장	Câu
487	배우다	Học
488	불합격	Thi trượt
489	빼다	Giảm
490	성적표	Bảng điểm
491	수업	Tiết học
492	수업시간	Giờ học
493	쉽다	Dễ
494	시가표	Thời khóa biểu
495	시험	Bài thi
496	어렵다	Khó
497	여름방학	Nghỉ hè
498	연구하다	Nghiên cứu
499	유학하다	Du học
500	장학금	Học bổng
501	전공하다	Chuyên môn
502	점수	Điểm
503	정보학	Thông tin
504	졸업증	Bằng cấp
505	졸업증명서	Bằng tốt nghiệp
506	졸업하다	Tốt nghiệp
507	종	Chuông
508	질문하다	Hỏi
509	토론하다	Thảo luận
510	학기	Học kỳ
511	학기말	Cuối học kỳ
512	학기초	Đầu học kỳ
513	학년	Cấp
514	학력	Học lực
515	학비	Học phí
516	학사	Cử nhân
517	갈다	Nghiền, xay
518	함격	Thi đỗ
519	굽다	Nướng
520	삶다	Luộc
521	볶다	Rang, chiên
522	찌다	Hấp
523	튀기다 	Rán / chiên (ngập dầu)
524	조리다	Kho
525	부치다	Rán 
526	끓이다	Đun, nấu
527	얼리다	Làm đông
528	녹이다	Làm tan chảy, dã đông
529	다듬다	Gọt, tỉa
530	다지다	Băm
531	절이다	Ướp muối, gia vị
532	버무리다	Trộn 
533	채를 치다	Xắt, thái 
534	데치다	Trần qua nước sôi
535	뒤집다	Lật, lộn ngược
536	무치다	Ướp gia vị
537	반죽하다	Nhào bột
538	썰다	Thái lát 
539	껍질을 까다	Bóc vỏ, gọt vỏ
540	자르다	Cắt
541	젓다	Khuấy
542	익다 [익었어요]	Chín (đồ ăn, hoa quả)
543	아직 안 익다 [아직 안 익었어요] 	Chưa chín 
544	타다	Cháy ( thức ăn cháy)
545	펴다	Trải ra 
546	깨물다	Cắn, gặm
547	나눠 먹다	Chia nhau ăn
548	남기다	Để lại
549	덜다	Giảm bớt
550	삼키다	Nuốt
551	식히다	Để nguội
552	씹다	Nhai 
553	편식하다	Kén ăn, khảnh ăn
554	푸다	Múc (canh), xới (cơm)
555	한턱내다	Đãi, khao
556	고소하다	Vị bùi, vị vừng rang 
557	구수하다	Thơm ngon
558	뜨겁다	Nóng
559	차갑다	Lạnh, nguội 
560	푸짐하다	Thừa thãi, chan chứa, đầy ngộn thức ăn
561	간을 맞추다	Nêm vị cho vừa 
562	펄펄 끓다	Sôi sùng sục
563	김치를 담그다	Muối kim chi
564	냄새를 맡다	Ngửi
565	맛있는 냄새가 나다	Hương vị thơm ngon
566	불판을 갈다	Thay vỉ nướng
567	상을 차리다	Chuẩn bị bàn ăn
568	솜씨가 좋다	Khéo tay 
569	양이 많다	Số lượng nhiều 
570	영양이 풍부하다	Nhiều chất dinh dưỡng 
571	입맛이 없다	Không muốn ăn, không có cảm giác ngon miệng
572	입에 맞다	Hợp khẩu vị
573	입에서 살살 녹다	Tan trong miệng 
574	장기간 보존이 가능하다	Có thể bảo quản trong thời gian dài 
575	조리법	Cách nấu, cách chế biến   
576	포장해서 가져가다	Gói rồi mang đi 
577	향이 좋다	Hương vị thơm 
578	U턴 금지 	Cấm quay đầu
579	고속버스 터미널	Bến xe cao tốc
580	고속버스	Xe buýt cao tốc
581	시내버스	Xe buýt nội thành
582	시외버스 	Xe buýt ngoại thành
583	버스 정류장	Bến xe buýt
584	고속도로	Đường cao tốc 
585	지하도 	Đường hầm
586	교통카드	Thẻ giao thông
587	내리는 문	Cửa xuống
588	노선도	Sơ đồ tuyến tàu
589	다음 정류장	Bến tiếp theo
590	육교	Cầu vượt
591	길	Đường
592	큰길	Đường lớn
593	지름길	Đường tắt
594	삼거리	Ngã ba 
595	사거리 	Ngã tư
596	신호등	Đèn giao thông
597	여객선 터미널	Bến tàu thủy
598	역무원	Nhân viên nhà ga
599	왕복	Khứ hồi
600	편도	Một chiều
601	운전면허증	Bằng lái xe
602	직행	Đi thẳng, chạy suốt
603	초보운전	Mới tập lái
604	환승역	Trạm trung chuyển
605	종착역	Ga cuối cùng
606	지하철역	Ga tàu điện ngầm
607	표지판	Biển chỉ đường
608	사고 	Tai nạn 
609	뺑소니 사고	Tông xe rồi bỏ trốn
610	초보 운전자	Người mới học lái xe
611	주차위반/불법주차	Đỗ xe trái phép 
612	신호위반	Vi phạm tín hiệu đèn giao thông 
613	불법유턴	Quay đầu xe trái phép 
614	무단 횡단	Qua đường trái phép 
615	졸음운전	Lái xe khi buồn ngủ
616	난폭운전	Lái xe ẩu
617	음주운전	Lái xe khi uống rượu
618	음주단속	Kiểm tra nồng độ cồn khi lái xe 
619	면허정지	Treo bằng lái 
620	면허취소	Hủy giấy phép lái xe
621	우회 도로	Đường vòng
622	중앙 분리대	Dải phân cách giữa đường
623	좌회전	Rẽ trái
624	우회전	Rẽ phải
625	교통사고	Tai nạn giao thông
626	교통 체증	Ách tắc giao thông
627	통행금지	Cấm thông hành
628	제한 속도	Tốc độ giới hạn
629	위험	Nguy hiểm
630	방향	Phương hướng
631	갈아타다	Chuyển xe, chuyển tàu
632	직진하다	Đi thẳng
633	복잡하다	Phức tạp, đông đúc
634	붐비다	Đông nghịt
635	혼잡하다	Hỗn tạp
636	드라이브 하다	Lái xe 
637	차가 밀리다	Kẹt xe 
638	길이 막히다	Tắc đường
639	빵꾸가 나다/펑크가 나다	Bị nổ lốp
640	끼어들다	Xe vào, chen vào
641	사고 나다	Xảy ra tai nạn 
642	안전벨트를 매다	Thắt dây an toàn 
643	시동걸다	Khởi động xe
644	속도를 높이다	Tăng tốc
645	속도를 늦추다	Giảm tốc độ 
646	후진하다	Lùi xe 
647	주유하다/기름을 넣다	Đổ xăng
648	세차하다	Rửa xe
649	속도위반 하다	Vi phạm tốc độ 
650	교통이 편리하다  	Giao thông thuận tiện
651	교통이 불편하다	Giao thông bất tiện
652	교통카드를 충전하다	Nạp tiền vào thẻ giao thông
653	길이 막히다	Tắc đường
654	단말기에 카드를 대다	Quẹt thẻ
655	반대 방향으로 가는 차를 타다	Đi xe ở phía ngược lại
656	서서 가다	Đứng khi đi (ô tô/buýt)
657	손잡이 잡다	Nắm vào tay cầm
658	앉아서 가다	Ngồi khi đi xe đi (ôtô / buýt)
659	역을 지나치다	Đi quá bến 
660	택시를 잡다	Bắt taxi
661	버스를 놓치다	Lỡ xe buýt
662	한 걸음   물러서다	Lùi một bước
663	출급카드	Thẻ chấm công
664	보너스	  Tiền thưởng
665	봉급	Lương
666	월급명세서 	Bảng lương
667	기본월급	Lương cơ bản
668	최저 봉급	Lương tối thiểu
669	연봉 	Lương năm
670	월급 	Lương tháng
671	보수	Tiền công
672	특근수당	Tiền làm ngày chủ nhật
673	잔업수당	Tiền tăng ca / làm thêm
674	초과근무 수당	Lương làm thêm ngoài giờ
675	수당	Phụ cấp
676	심야수당	Tiền làm đêm
677	유해수당 	Tiền trợ cấp độc hại
678	월급날 	Ngày trả lương
679	퇴직금	Tiền trợ cấp thôi việc
680	공제	Khoản trừ
681	의료보험료	Phí bảo hiểm
682	의료보험카드	Thẻ bảo hiểm
683	상금	Khen thưởng
684	기율	Kỷ luật
685	건설 회사	Công ty xây dựng
686	보험 회사 	Công ty bảo hiểm
687	무역 회사 	Công ty thương mại
688	증관 회사	Công ty chứng khoán
689	가전제품 회사	Công ty điện gia dụng
690	가전제품 회사	Công ty điện gia dụng
691	대기업	Doanh nghiệp lớn
692	정년기업	Doanh nghiệp vừa và nhỏ
693	공장	Nhà máy, công xưởng
694	사무실	Văn phòng
695	부서	Bộ phận
696	경리부	Bộ phận kế toán
697	관리부 	Bộ phận quản lý
698	총무부	Bộ phận hành chính
699	무역부	Bộ phận xuất nhập khẩu
700	업무부	Bộ phận nghiệp vụ
701	생산부	Bộ phận sản xuất
702	검사반	Bộ phận kiểm tra
703	포장반	Bộ phận đóng gói
704	가공반	Bộ phận gia công
705	완성반	Bộ phận hoàn tất
706	광고문	Bảng thông báo
707	채용정보	Thông báo tuyển dụng
708	취업	Xin việc
709	입사	Vào công ty
710	사무직 	Công việc hành chính
711	전문직	Việc chuyên môn
712	기능직	Công việc kĩ thuật
713	영업직	Công việc kinh doanh
714	이력서	Lí lịch
715	지원서 	Đơn xin việc, đơn xin
716	경력 증명서	Giấy chứng nhận kinh nghiệm
717	학력	Học lực
718	경력	Năng lực, kinh nghiệm
719	적성	Khả năng, năng khiếu , sở trường
720	지원 동기	Động cơ xin việc
721	추천서 	Giấy tiến cử
722	성적 증명서	Bảng điểm , bảng thành tích
723	종업 증명서	Bằng tốt nghiệp
724	자기소개서	Bản giới thiệu bản thân
725	적성에 맞다	Phù hợp với khả năng, phù hợp với sở trường
726	인터넷 접수	Nhận đơn qua mạng
727	합격자 발표	Thông báo trúng tuyển
728	지원서를 쓰다	Viết đơn xin việc
729	방문 접수	Nhận đơn trực tiếp
730	제출 서류	Giấy tờ , hồ sơ cần nộp
731	서류 마감	Hết hạn hồ sơ
732	우편 접수	Nhận qua đường bưu điện
733	서류를 접수하다	Thu hồ sơ
734	필기시험을 보다	Thi viết
735	면접시험을 보다	Thi vấn đáp
736	공문	Công văn
737	출퇴근 버스 	Xe đưa rước
738	면직하다	Bãi nhiệm chức vụ
739	사회보험	Bảo hiểm xã hội
740	보건보험	Bảo hiểm y tế
741	출장가다	Đi công tác
742	지각하다	Đi trễ
743	노동계약	Hợp đồng lao động
744	건강진단	Khám sức khoẻ
745	근무일	Ngày làm việc
746	휴일	Ngày nghỉ
747	연차휴가	Nghỉ phép
748	규칙	Quy tắc
749	해고 	Sa thải
750	해고를 당하다 	Bị sa thải
751	입사하다	Vào công ty
752	합격이 되다	Trúng tuyển
753	조퇴하다 	Về sớm
754	의장님/ 이사님	Chủ tịch và Giám đốc điều hành
755	씨이오	Giám đốc điều hành CEO
756	마케팅 담당자님	Giám đốc/ Trưởng phòng Marketing
757	세일 매니저님	Giám đốc/ Trưởng phòng Sales
758	고객서비스팀 매니저님	Giám đốc/ Trưởng phòng Dịch vụ khách hàng
759	개인담당 매니저님/ 퍼스널 디랙터 님	Giám đốc/ Trưởng phòng Nhân sự
760	인사관리 매니저님	Giám đốc/ Trưởng phòng Nhân sự
761	오피스 매니저님	Giám đốc/ Trưởng văn phòng
762	기술관리자님	Giám đốc/ Trưởng phòng Kỹ thuật
763	연구 개발 매니저님	Giám đốc/ Trưởng phòng Nghiên cứu và phát triển
764	프로덕션 담당자님	Giám đốc/ Trưởng phòng Sản phẩm
765	공장장님	Giám đốc/ Trưởng nhà máy/xưởng sản xuất
766	상무	Giám đốc thương mại
767	이사	Thành viên ban giám đốc
768	사모님	Bà chủ
769	상사	Cấp trên
770	부사장 	Phó giám đốc
771	회사비서	Thư ký trưởng
772	최고 회계사님 	Kế toán trưởng
773	과장	Trưởng chuyền
774	대리 	Phó chuyền
775	반장	Trưởng ca
776	전무	Chánh văn phòng
777	차장	Tổ trưởng
778	관리자	Người quản lý
779	근로자 	Người lao động
780	동료	Đồng nghiệp
781	사원	Nhân viên
782	부하 직원	Nhân viên cấp dưới
783	경력 사원	Nhân viên lâu năm, nhân viên có kinh nghiệm
784	정규 사원	Nhân viên chính thức
785	인턴사원/ 수습사원	Nhân viên thử việc
786	신입사원	Nhân viên mới
787	청소아주머니	Bác gái dọn vệ sinh
788	외국인근로자	Lao động nước ngoài
789	불법자	Người bất hợp pháp
790	경비아저씨	Bác trai bảo vệ
791	식당아주머니	Bác gái nấu ăn
792	의사	Bác sĩ
793	유모	Bảo mẫu
794	번역	Biên dịch viên
795	군인	Bộ đội
796	웨이터	Bồi bàn nam
797	웨이트리스	Bồi bàn nữ
798	가수 	Ca sỹ
799	경찰관	Cảnh sát
800	교통 경찰관	Cảnh sát giao thông
801	선수	Cầu thủ
802	공증인	Công chứng viên
803	국가주석	Chủ tịch nước
804	배우, 연주자	Diễn viên
805	영화배우	Diễn viên điện ảnh
806	유학생 	Du học sinh
807	약사	Dược sĩ
808	감독	Đạo diễn
809	요리사	Đầu bếp
810	가정교사 	Gia sư
811	사장	Giám đốc
812	교수	Giáo sư
813	선생님	Giáo viên
814	교장	Hiệu trưởng
815	화가	Hoạ sĩ
816	학생 	Học sinh
817	초등학생 	Học sinh cấp 1
818	중학생	Học sinh cấp 2
819	고등학생	Học sinh cấp 3
820	안내원	Hướng dẫn viên
821	관광 안내원	Hướng dẫn viên du lịch
822	산림감시원 	Kiểm lâm
823	과학자	Khoa học gia
824	운전기사	Lái xe
825	컴퓨터프로그래머	Lập trình viên máy tính
826	소방관	Lính cứu hoả
827	변호사	Luật sư
828	주부	Nội trợ
829	농부	Nông dân
